ISSN,ALPVM,LOPVM,MAA,OSAVALTIO,KAUPUNKI,KAUPUNKI_EN,KAUPUNKI_NORM,URI,KAUPUNKI_SV
0356-231X,17.10.1973,,FI,,Sonkajärvi,,Sonkajärvi,,
0355-7502,12.09.1958,,FI,,Helsinki,,Helsinki,,Helsingfors
0786-5511,04.01.1956,,FI,,Ilmajoki,,Ilmajoki,,
0356-2360,14.11.1952,28.03.2007,FI,,Simpele,,Simpele,,
0782-6354,14.10.1953,,FI,,Kangasniemi,,Kangasniemi,,
0356-1321,18.05.1945,,FI,,Kuopio,,Kuopio,,
0356-228X,01.01.1951,,FI,,Kuhmoinen,,Kuhmoinen,,
0356-1801,19.11.1925,,FI,,Paimio,,Paimio,,
0782-5595,30.01.1925,,FI,,Laitila,,Laitila,,
0023-8015,01.01.1987,,FI,,Helsingfors,,Helsinki,,Helsingfors
0782-6397,13.11.1954,,FI,,Lieksa,,Lieksa,,
0782-8306,01.08.1983,,FI,,Huhmari,,Huhmari,,
0782-8306,18.09.1952,31.07.1983,FI,,Vihti,,Vihti,,
0784-6568,08.04.1950,,FI,,Padasjoki,,Padasjoki,,
0782-5714,29.12.1944,,FI,,Perniö,,Perniö,,
0356-6447,10.12.1958,,FI,,Pieksämäki,,Pieksämäki,,
0782-5544,05.05.1948,31.12.1980,FI,,Turku,,Turku,,Åbo
0787-6742,01.08.1933,,FI,,Kristiinankaupunki,,Kristiinankaupunki,,Kristinestad
0782-5757,19.11.1927,,FI,,Säynätsalo,,Säynätsalo,,
0782-5986,31.12.1954,,FI,,Lieto,,Lieto,,
0789-0745,30.01.1902,13.09.1984,FI,,Vaasa,,Vaasa,,Vasa
0782-5978,10.09.1937,,FI,,Alajärvi,,Alajärvi,,
0784-364X,29.04.1927,,FI,,Ylivieska,,Ylivieska,,
0782-5579,01.01.1990,,FI,,Kemijärvi,,Kemijärvi,,
0782-7067,09.04.1925,31.12.2004,FI,,Mänttä,,Mänttä,,
0359-6753,28.11.1928,,FI,,Rovaniemi,,Rovaniemi,,
0789-8126,05.01.1933,,FI,,Orivesi,,Orivesi,,
0359-6281,08.01.1925,,FI,,Vammala,,Vammala,,
0782-579X,01.06.1934,,FI,,Ikaalinen,,Ikaalinen,,Ikalis
0782-372X,10.08.1915,,FI,,Kemi,,Kemi,,
0789-0796,04.01.1919,,FI,,Raahe,,Raahe,,
0785-5907,07.01.1988,,FI,,Reisjärvi,,Reisjärvi,,
0358-2434,04.01.1983,,FI,,Närpes,,Närpiö,,Närpes
0786-2008,01.01.1990,,FI,,Toijala,,Toijala,,
0789-6328,01.01.1990,,FI,,Vasa,,Vaasa,,Vasa
fk14971,01.02.1921,,FI,,s. l.,,,,
fk14973,12.10.1923,,SU,,Petroskoi,,Petroskoi,,
fk10065,16.01.1894,03.05.1895,FI,,Gamlakarleby,,Kokkola,,Gamlakarleby
1458-0616,01.03.1890,27.12.1890,FI,,Uusikaupunki,,Uusikaupunki,,
fk10037,07.08.1920,30.09.1921,FI,,Hyvinkää,,Hyvinkää,,
1457-4292,21.12.1872,,FI,,Björneborg,,Pori,,Björneborg
